Date,Open_Interest,Producer_Longs,Producer_Shorts,Swap_Dealer_Longs,Swap_Dealer_Shorts,Swap_Dealer_Spreads,Money_Manager_Longs,Money_Manager_Shorts,Money_Manager_Spreads,Other_Reportable_Longs,Other_Reportable_Shorts,Other Reportable Spreads,Total_Reportable_Longs,Total_Reportable_Shorts,Non_Reportable_Longs,Non_Reportable_Shorts
2013-11-19T00:00:00Z,235274,46244,148407,23543,6925,863,92611,17122,24024,10613,9818,21955,219853,229114,15421,6160
2013-11-26T00:00:00Z,241712,46895,149887,23479,7238,1181,94262,16736,26845,10088,10039,23341,226090,235266,15623,6446
2013-12-03T00:00:00Z,248634,47238,153598,24222,7237,1294,95753,16872,29160,10464,10002,24223,232354,242387,16280,6247
2013-12-10T00:00:00Z,244365,41384,150471,23145,6542,1247,93806,16250,32628,12881,6623,24672,229763,238433,14602,5933
2013-12-17T00:00:00Z,245045,44394,153006,22873,5302,1386,87646,12922,37300,13169,6001,24109,230878,240026,14167,5019
2013-12-24T00:00:00Z,250303,44722,154383,22128,5830,1494,89109,12407,39385,12823,6322,24539,234200,244359,16103,5944
2013-12-31T00:00:00Z,240363,44816,150473,21734,5065,1696,84341,9633,37996,12868,5760,23975,227425,234597,12938,5766
2014-01-07T00:00:00Z,235121,48823,148117,20570,4991,2292,80605,10224,33351,12950,5769,24123,222716,228867,12406,6254
2014-01-14T00:00:00Z,242238,52128,147743,18085,5155,3103,81765,11930,36262,11298,5629,26304,228944,236126,13293,6112
2014-01-21T00:00:00Z,243332,52662,146360,17399,5001,3909,81982,12584,37030,10951,5270,26612,230543,236766,12788,6566
2014-01-28T00:00:00Z,262020,54012,154923,17681,6153,3650,89797,12336,41998,9101,6370,30679,246917,256109,15103,5911
2014-02-04T00:00:00Z,266310,54298,159747,17314,6877,5126,93838,10800,39072,10260,6315,31493,251401,259430,14909,6880
2014-02-11T00:00:00Z,240510,51945,155568,16715,6860,4266,94089,14145,26049,10227,5189,22622,225914,234700,14596,5810
2014-02-18T00:00:00Z,236529,50239,153572,15643,6573,3305,93735,13609,25985,10389,4972,23203,222501,231219,14029,5310
2014-02-25T00:00:00Z,235851,53144,153835,15381,6308,3600,91875,12562,28900,8934,4795,20827,222661,230827,13190,5024
2014-03-04T00:00:00Z,237797,53593,153269,15417,7466,4345,93848,13472,29732,6676,4068,20213,223825,232566,13972,5231
2014-03-11T00:00:00Z,248672,52939,151608,15057,7696,5253,96469,20506,32513,8405,3931,21972,232609,243480,16063,5191
2014-03-18T00:00:00Z,249818,53691,149538,15489,7507,5273,95290,20451,34114,7518,4096,23882,235257,244862,14561,4956
2014-03-25T00:00:00Z,249618,56828,145520,15229,7915,5161,89979,21031,34873,7768,4015,25646,235484,244163,14134,5455
2014-04-01T00:00:00Z,246215,58594,143039,13546,9312,6836,88668,19018,29977,8215,6243,26428,232264,240853,13951,5362
2014-04-08T00:00:00Z,228081,56675,140286,13177,7994,6866,86557,18563,24377,7665,6564,17745,213062,222395,15019,5686
2014-04-15T00:00:00Z,225577,60431,142691,13949,8140,5452,83075,19257,24545,6871,2652,17952,212274,220689,13303,4888
2014-04-22T00:00:00Z,230032,60970,144357,13815,8655,5684,84266,19176,25195,6953,3503,18800,215683,225370,14350,4662
2014-04-29T00:00:00Z,227970,65224,139554,14382,9040,5782,77411,19668,26445,6454,3150,19144,214841,222783,13129,5187
2014-05-06T00:00:00Z,227300,67322,136867,13870,9621,7041,73783,19672,26799,7139,2926,18886,214840,221812,12460,5488
2014-05-13T00:00:00Z,229220,69371,132768,14382,9675,7214,68184,20598,28852,7943,3057,21521,217467,223687,11753,5533
2014-05-20T00:00:00Z,228719,70669,135583,14679,9638,7304,69059,19883,26305,6639,2937,22036,216692,223686,12027,5032
2014-05-27T00:00:00Z,248681,72976,147155,14141,9730,7389,77231,18621,29886,8177,4126,25843,235643,242750,13038,5931
2014-06-03T00:00:00Z,263868,73264,154734,14428,10987,7342,82938,17575,31065,8437,4849,31038,248512,257590,15356,6279
2014-06-10T00:00:00Z,248755,62872,145787,14365,10065,6836,88087,19460,27974,8611,5822,26098,234842,242041,13913,6714
2014-06-17T00:00:00Z,247128,60340,147839,14613,10078,5346,91902,21277,25462,8987,5358,25406,232056,240765,15072,6363
2014-06-24T00:00:00Z,254552,62489,148825,16510,9931,6110,93626,25640,25347,8669,5539,26775,239526,248167,15026,6385
2014-07-01T00:00:00Z,258662,66386,154495,16063,9547,4662,94077,24853,24016,8728,5799,28814,242746,252185,15916,6477
