Open_Interest.t,Mon.t_1_Manager_Longs.t,Mon.t_1_Manager_Shorts.t,Mon.t_1_Manager_Spreads.t,Open_Interest.t_1,Producer_Longs.t_1,Producer_Shorts.t_1,Swap_Dealer_Longs.t_1,Swap_Dealer_Shorts.t_1,Swap_Dealer_Spreads.t_1,Mon.t_1_Manager_Longs.t_1,Mon.t_1_Manager_Shorts.t_1,Mon.t_1_Manager_Spreads.t_1,Other_Reportable_Longs.t_1,Other_Reportable_Shorts.t_1,Other Reportable Spreads.t_1,Total_Reportable_Longs.t_1,Total_Reportable_Shorts.t_1,Non_Reportable_Longs.t_1,Non_Reportable_Shorts.t_1,Oil.t_1,Sugar.t_1,Sugar.t
934721,108924,130990,85602,928763,322558,310863,128422,138088,34726,111734,133962,88417,32068,13615,141324,859249,860995,69513,67767,-3.62,0.247,0.237
1182157,296334,10846,86853,1178565,259708,690674,138391,96399,43048,293732,12323,92170,75272,18591,178155,1080476,1131360,98089,47205,-1.76,-0.157,-0.18
724881,60853,32141,36250,698652,227258,390094,135449,29331,16833,56798,35298,32336,32295,4945,126343,627312,635181,71340,63471,0.79,0.403,-0.23
1100779,227507,24784,70879,1108012,358401,656487,170222,143077,38871,210973,28391,62509,60688,7059,124769,1026433,1061164,81579,46848,-0.253,0.02,0.363
977374,153050,159650,85397,963895,259096,442099,225800,53006,49126,147375,153268,80241,40950,13512,74285,876872,865538,87023,98357,-0.873,0.18,-0.567
1290057,290471,26156,129720,1279609,352816,621632,135841,216966,54782,295123,25301,132515,41020,12497,166461,1178557,1230154,101051,49455,1.017,0.293,-0.333
840401,141334,10138,59591,844364,138709,368423,137504,105076,72639,146495,4774,56089,28875,4629,167665,747977,779295,96386,65068,-2.853,-1.16,0.697
1001327,152532,203287,113336,989947,250041,419524,229280,52344,56693,156275,208519,105789,66418,15200,52411,916908,910480,73039,79467,2.143,-0.293,0.6
935967,105025,41789,63398,957776,224859,454406,203150,40375,90337,109462,42982,63780,11829,12697,186648,890065,891226,67711,66550,-5.313,-0.183,0.02
1128325,83293,138697,82903,1160280,479963,552296,172625,69303,59060,88087,158887,83238,55840,9600,152866,1091679,1085250,68601,75030,9.343,1.61,-0.55
